sentence,startTime
calls depending upon the type of deal that we're working on um our cro will jump onto calls because,42:08
we sell into sales teams and marketing teams and cros are you know big stakeholders in not only the purchase of,42:14
the deal but in making sure that all goes well once they're on board so I,42:22
sort of think of it like we haven't signed a contract yet but this is what it's like to work with us you get to know all of us and it's not just me,42:27
yeah and I think like if they can if they do think it's just you I think that can sometimes be a bit worrying for,42:35
buyers like why am I just working with this one person and no one else in the company cares about this so I think,42:40
you're also kind of giving reassurance to your buyer that like hey this is an important deal for us that's why we're,42:46
getting all of these people and experts involved in whatever their experts in so I think it kind of works both ways,42:52
totally and I think um you know to kind of summarize a lot of the points around,43:01
um the uh preparation being super important right so make sure you the roles responsibilities love that like,43:06
have have clear expectations for not only the customer for but for your team on what the value is that they're going,43:12
to bring as part of the deal um and then ultimately that's going to um that's going to allow you to kind of,43:18
really set the tone of the relationship early on and grow kind of your point around,43:25
um you know especially like mid-stage of the deal like you start getting closer to,43:30
um things being finalized you want the customer to feel like um you know hey this is the beginning of,43:35
something like we're not just focused on getting the deal done we're focused on driving the outcomes for you based on what we talked about we're going to go,43:41
out there and Achieve right based on X and so telling it back to Value I think is super important in team selling definitely helps you helps you do that,43:46
um so we got through um all the questions so thank you all,43:53
um and you know we've seen a lot come through the chat in the past uh in the past uh 45 minutes or so,43:59
um and so this is kind of like last if you have any any questions you want to be asking the group of panelists here on,44:07
how to sell the c-suite now is the time to uh put in the chat and we can kind of discuss it for a few minutes before we,44:13
wrap up with our key takeaways Evan I was laughing at Michael's question about have you seen executive,44:19
step in and say the wrong thing and mess up the deal yeah I've been like the senior product guy who comes on and I'm,44:26
like too quick to jump to a discount they're like shut up stop dude yeah I think it's funny,44:31
um you know going back to the appropriate for sure we've all seen that right I think there's an interesting,44:38
conversation around also uh titles and competency you know to your point and,44:43
sometimes you will find Executives maybe um you know you like just because,44:50
someone has a title doesn't necessarily mean maybe they understand the business as well as they should be those are things I think you have to vet for and,44:55
then the preparation side definitely resonates around um you know think about how many times,45:02
you've had that conversation you spent all signed prepping and you get in the conversation the sea level and it does not go at all according to plan right,45:07
like typically it's it's being hijacked in certain ways and so um uh I feel like we see that happen all,45:13
the time as well um but come in see cool any any final questions to my team,45:20
we're going to do a quick wrap um on key takeaways if there's nothing else from the people on chat we can kind,45:27
of get into that piece typo it's probably cool,45:34
um so Ted why don't we start with you um biggest takeaway from,45:40
the the conversation today in terms of how do you get in front of the c c faster,45:46
yeah I mean I like um I don't remember because Katie or broke your point on uh two to three,45:53
minute ask instead of the 30-minute ask um I don't know if that's something you would who always advise or if it's just,45:58
something that's more specific to this environment for those of us that are selling to tech companies we know they've been through pretty probably,46:04
pretty tough budget cycle in the last uh quarter or so and so just being you know empathetic of that situation,46:11
um you know for me I'd be remiss if I didn't talk about the role of indecision it plays and how we need to make sure,46:19
we're incorporating that when we're talking to buyers at all points of the decision process and addressing that,46:25
fear of messing up um you know is a really really important thing right now in today's sales,46:31
thank you I can go next oh sorry,46:39
all right my biggest takeaway like the thing that I heard the most across all the,46:45
questions and all of our insights and like looking at the chat is preparation you know like really being ready and,46:51
tight and thinking through you know what this call is for what this message is,46:59
for who am I reaching out to what's their reality like and what do they care about is going to get us further in both,47:04
booking meetings and closing deals and creating better experiences for the buyers that are involved in our,47:11
evaluations um but just thinking about the past 45 minutes that's the thing that came up,47:17
the most um yeah and I think to add to that as well I think just the need when you're,47:22
speaking specifically to the c-suite as well is just no fluff,47:29
um we've all kind of said it in different ways but you've just got to have um that agenda kind of nailed down super,47:34
tight no fluff straight to the point whether that be when you're either like on the phone or when you're emailing,47:41
them or whatever it may be um and also just making sure that you've got that Rapport so you're standing out,47:47
as a seller yeah I think those are all great takeaways I think for me uh big theme is,47:52
expectations and just thinking about expectations in terms of like how do you engage with the,48:01
sea level what can you realistically be asking for them um like the low ask,48:07
um thing I think is super important and then ultimately um you know how are they involved in your deal and just understanding that as,48:12
a seller I think is super important so that you can have the right buying process both externally and internally,48:18
um that aligns well with that to help that executive you know um you know make the right decision with,48:25
their team and so I think the expectations piece I think is super important around sales process when you,48:30
get a sea level involved I think just being realistic around that I think is is important to understand to make sure,48:36
that you're getting you're getting the most out of every interaction and preparing for that to make sure that,48:42
you're you continue to kind of move things move things forward you know I would and don't ask questions,48:47
you can Google yes whoever put that in the chat that's an amazing I feel like that's an amazing uh,48:54
we're all gonna steal that piece so I love that,49:01
cool um so we have some uh just to kind of wrap we do have a uh as we talked about,49:06
Drifters Host this webinar you know Brooke and myself are um both uh both work at drift and uh we,49:13
have uh an e-book coming out game changer go to market um that you can uh that's linked to here,49:18
I'm sure it'll be sent as part of the resources as well um that has a lot of um a lot of these,49:24
uh best practices from ourselves other than others in the industry uh to help you to help you be successful uh,49:30
certainly in this environment so I hope you get a chance to check that out and,49:37
um really enjoyed the discussion today thank you uh Brook Keady Ted awesome had,49:42
a great time with the conversation of how to sell faster to cease Fleet and thanks for all the engagement today on,49:48
parlor webinar yeah thank you all for joining and being,49:54
in the chat and all that good stuff we will send that ebook out via email after we,49:59
um hop off with the recording as well so you can always go back and jot down,50:05
different notes um if you missed them but thank you Evan Brooke Katie and Ted for joining us today and all of the,50:10
attendees for being active in the chat and taking the time to be with us and be,50:17
present and ask questions we have an upcoming webinar on Thursday about,50:22
um that's on a sales Leader's guide to a killer sko so if you've already started planning your sko or if you're in in the,50:28
works still hop on that one on Thursday I'm sure it's going to be super inspectful we've got a couple awesome,50:35
speakers on there um I had a prep call with them today and it was I'm excited for it so um hope to see you all on,50:42
Thursday but um thank you all for tuning in today,50:49
